Previsões para SKU 98529:
            ds         yhat   yhat_lower   yhat_upper
369 2023-12-15  2307.922093  2164.343291  2456.922291
370 2023-12-16  2311.525126  2151.969052  2462.704085
371 2023-12-17  2314.960501  2166.543985  2461.923130
372 2023-12-18  2287.958612  2135.427531  2434.705092
373 2023-12-19  2317.734536  2165.752200  2462.755079
374 2023-12-20  2297.953179  2147.511815  2450.943345
375 2023-12-21  2296.376889  2133.758881  2447.457316
376 2023-12-22  2300.031533  2135.028320  2443.354201
377 2023-12-23  2303.634567  2149.071754  2455.415728
378 2023-12-24  2307.069941  2154.246093  2455.480274

Previsões para SKU 12480992:
            ds         yhat   yhat_lower   yhat_upper
362 2023-12-05  6160.377345  5913.961199  6425.717835
363 2023-12-06  6118.026666  5874.744326  6360.054991
364 2023-12-07  6136.704333  5899.522844  6387.854137
365 2023-12-08  6161.283791  5919.030085  6422.590820
366 2023-12-09  6117.944479  5860.493292  6354.240889
367 2023-12-10  6166.504840  5910.005567  6424.475112
368 2023-12-11  6123.637216  5863.427290  6362.643082
369 2023-12-12  6142.035481  5870.323618  6385.989356
370 2023-12-13  6099.684803  5861.881223  6371.233375
371 2023-12-14  6118.362469  5898.354447  6383.969770
372 2023-12-15  6142.941927  5897.548039  6395.308758
373 2023-12-16  6099.602615  5836.649078  6349.004529
374 2023-12-17  6148.162976  5911.123523  6395.256528
375 2023-12-18  6105.295352  5851.979575  6353.546583
376 2023-12-19  6123.693617  5872.249338  6378.400177
377 2023-12-20  6081.342939  5836.804012  6341.629855
378 2023-12-21  6100.020605  5866.166627  6360.966383
379 2023-12-22  6124.600064  5878.707550  6393.552212
380 2023-12-23  6081.260751  5831.851321  6335.495471
381 2023-12-24  6129.821112  5867.287465  6400.655053

Previsões para SKU 12481370:
            ds         yhat   yhat_lower   yhat_upper
364 2023-12-05  3765.558131  3495.431328  4004.611693
365 2023-12-06  3778.983314  3515.918185  4031.010250
366 2023-12-07  3742.251420  3486.540263  4009.663886
367 2023-12-08  3770.702421  3488.268603  4027.588624
368 2023-12-09  3788.625215  3525.856178  4072.500290
369 2023-12-10  3785.758344  3499.535485  4037.989583
370 2023-12-11  3756.914009  3494.579090  4026.965810
371 2023-12-12  3770.887158  3499.408281  4037.612495
372 2023-12-13  3784.312340  3511.235811  4047.592228
373 2023-12-14  3747.580447  3485.970406  4017.146934
374 2023-12-15  3776.031448  3511.614216  4057.080735
375 2023-12-16  3793.954241  3531.260597  4061.486591
376 2023-12-17  3791.087371  3523.169846  4065.955708
377 2023-12-18  3762.243036  3516.466051  4019.607388
378 2023-12-19  3776.216184  3510.219305  4036.319730
379 2023-12-20  3789.641367  3526.172986  4045.348919
380 2023-12-21  3752.909474  3483.728729  4017.038833
381 2023-12-22  3781.360474  3497.695667  4040.494232
382 2023-12-23  3799.283268  3530.889923  4077.590448
383 2023-12-24  3796.416397  3529.246131  4071.616875

Previsões para SKU 12481834:
            ds         yhat   yhat_lower   yhat_upper
362 2023-12-05  5787.808522  5528.973596  6063.037938
363 2023-12-06  5785.147047  5506.285777  6063.793371
364 2023-12-07  5772.239761  5500.037147  6033.719489
365 2023-12-08  5768.786741  5485.811248  6040.604869
366 2023-12-09  5819.347082  5549.441735  6080.769961
367 2023-12-10  5818.212077  5545.293797  6094.760382
368 2023-12-11  5736.794582  5467.961631  6034.848673
369 2023-12-12  5777.907940  5510.891093  6052.264549
370 2023-12-13  5775.246465  5520.766288  6072.307170
371 2023-12-14  5762.339179  5508.968940  6024.437411
372 2023-12-15  5758.886158  5482.279034  6044.768697
373 2023-12-16  5809.446500  5539.364386  6079.475284
374 2023-12-17  5808.311495  5534.510841  6076.307235
375 2023-12-18  5726.894000  5454.803732  6000.752681
376 2023-12-19  5768.007358  5480.648660  6052.692411
377 2023-12-20  5765.345883  5479.222977  6062.173413
378 2023-12-21  5752.438597  5473.077398  6027.296567
379 2023-12-22  5748.985576  5481.747184  6012.647176
380 2023-12-23  5799.545918  5533.840325  6068.878470
381 2023-12-24  5798.410913  5510.533039  6092.881290

Previsões para SKU 12481843:
            ds         yhat   yhat_lower   yhat_upper
358 2023-12-05  2442.049532  2311.988030  2573.848311
359 2023-12-06  2440.217788  2309.565589  2571.614073
360 2023-12-07  2419.724718  2291.768791  2543.114537
361 2023-12-08  2414.460631  2289.865984  2544.886827
362 2023-12-09  2434.693869  2306.088280  2563.873900
363 2023-12-10  2431.117655  2302.176695  2549.153115
364 2023-12-11  2419.568703  2285.613721  2537.739803
365 2023-12-12  2441.132910  2308.858811  2574.412019
366 2023-12-13  2439.301166  2314.624613  2570.673513
367 2023-12-14  2418.808096  2288.999269  2540.373943
368 2023-12-15  2413.544009  2289.517444  2549.124312
369 2023-12-16  2433.777247  2301.859321  2557.505963
370 2023-12-17  2430.201033  2302.906034  2554.759744
371 2023-12-18  2418.652081  2291.766463  2545.961697
372 2023-12-19  2440.216288  2302.933160  2575.059507
373 2023-12-20  2438.384545  2310.760872  2556.515391
374 2023-12-21  2417.891474  2300.591222  2557.309712
375 2023-12-22  2412.627387  2283.079771  2547.386173
376 2023-12-23  2432.860626  2299.459239  2563.012556
377 2023-12-24  2429.284411  2295.497344  2561.323544

Previsões para SKU 12481855:
            ds         yhat   yhat_lower   yhat_upper
365 2023-12-05  4760.491037  4464.907353  5080.390904
366 2023-12-06  4771.436736  4469.816298  5070.728338
367 2023-12-07  4774.578769  4476.822675  5075.283487
368 2023-12-08  4777.716435  4487.269720  5073.168768
369 2023-12-09  4807.941403  4531.466397  5121.144497
370 2023-12-10  4818.012151  4496.779568  5116.846560
371 2023-12-11  4749.606220  4468.581016  5040.531772
372 2023-12-12  4763.690294  4465.988970  5071.220084
373 2023-12-13  4774.635993  4466.787297  5075.129365
374 2023-12-14  4777.778026  4475.746265  5063.585861
375 2023-12-15  4780.915693  4482.377249  5102.347723
376 2023-12-16  4811.140661  4489.920004  5134.237642
377 2023-12-17  4821.211408  4493.338973  5144.113173
378 2023-12-18  4752.805478  4448.958291  5069.989842
379 2023-12-19  4766.889552  4457.499094  5067.756614
380 2023-12-20  4777.835251  4463.747093  5078.596182
381 2023-12-21  4780.977284  4469.137447  5096.735084
382 2023-12-22  4784.114950  4467.708161  5101.762193
383 2023-12-23  4814.339919  4499.300003  5119.833156
384 2023-12-24  4824.410666  4525.696143  5124.863395

Previsões para SKU 12482148:
            ds         yhat   yhat_lower   yhat_upper
364 2023-12-05  3100.149013  2908.804485  3309.069181
365 2023-12-06  3095.371718  2891.843884  3294.596251
366 2023-12-07  3078.440726  2879.033416  3271.546953
367 2023-12-08  3055.623470  2846.780319  3253.761386
368 2023-12-09  3078.428761  2878.122557  3273.449252
369 2023-12-10  3061.501867  2862.827811  3268.473675
370 2023-12-11  3058.903313  2860.381855  3265.120537
371 2023-12-12  3091.088198  2892.761182  3300.686281
372 2023-12-13  3086.310903  2881.572260  3275.383953
373 2023-12-14  3069.379911  2869.424991  3280.617006
374 2023-12-15  3046.562656  2849.651600  3229.950909
375 2023-12-16  3069.367946  2877.199097  3261.469121
376 2023-12-17  3052.441052  2842.845074  3259.808492
377 2023-12-18  3049.842498  2853.559445  3253.023461
378 2023-12-19  3082.027383  2886.774028  3293.031540
379 2023-12-20  3077.250088  2869.915193  3292.379224
380 2023-12-21  3060.319097  2873.441103  3269.383124
381 2023-12-22  3037.501841  2844.406874  3235.429245
382 2023-12-23  3060.307131  2852.460825  3269.646302
383 2023-12-24  3043.380237  2837.865838  3257.178044

Previsões para SKU 12482155:
            ds         yhat   yhat_lower   yhat_upper
355 2023-12-05  2909.530156  2748.745042  3061.180275
356 2023-12-06  2922.307499  2763.476358  3070.967489
357 2023-12-07  2918.370361  2755.043258  3083.918634
358 2023-12-08  2889.744980  2734.560536  3053.239994
359 2023-12-09  2911.765528  2739.855192  3071.004004
360 2023-12-10  2915.865118  2753.480249  3073.737843
361 2023-12-11  2910.810149  2736.377771  3084.604513
362 2023-12-12  2908.695532  2747.237633  3065.677104
363 2023-12-13  2921.472874  2755.890597  3080.085552
364 2023-12-14  2917.535737  2760.734957  3073.103798
365 2023-12-15  2888.910355  2726.040922  3047.936946
366 2023-12-16  2910.930904  2749.646340  3064.822494
367 2023-12-17  2915.030494  2746.917637  3079.188659
368 2023-12-18  2909.975525  2754.295610  3083.361666
369 2023-12-19  2907.860908  2745.481913  3065.492757
370 2023-12-20  2920.638250  2764.922753  3082.087721
371 2023-12-21  2916.701113  2755.039990  3082.831691
372 2023-12-22  2888.075731  2725.497852  3061.617721
373 2023-12-23  2910.096279  2747.461896  3083.499266
374 2023-12-24  2914.195870  2756.606092  3078.899516

Previsões para SKU 12482336:
            ds         yhat   yhat_lower   yhat_upper
333 2023-12-05  3352.047848  3115.649854  3599.657301
334 2023-12-06  3327.514125  3081.249522  3576.888441
335 2023-12-07  3348.919513  3116.735625  3583.896956
336 2023-12-08  3324.043375  3088.414262  3543.203741
337 2023-12-09  3345.655256  3082.764814  3584.423219
338 2023-12-10  3360.080279  3119.699396  3586.274268
339 2023-12-11  3315.175729  3081.832169  3570.149162
340 2023-12-12  3352.467956  3112.680153  3584.015781
341 2023-12-13  3327.934233  3093.078747  3564.547582
342 2023-12-14  3349.339621  3109.854372  3594.379982
343 2023-12-15  3324.463483  3090.034345  3566.678222
344 2023-12-16  3346.075364  3105.002470  3577.554155
345 2023-12-17  3360.500387  3113.426712  3588.064565
346 2023-12-18  3315.595837  3097.404558  3550.646426
347 2023-12-19  3352.888064  3100.883344  3591.594867
348 2023-12-20  3328.354341  3091.764485  3559.012595
349 2023-12-21  3349.759729  3116.353439  3606.167020
350 2023-12-22  3324.883591  3100.280454  3557.157802
351 2023-12-23  3346.495472  3088.114159  3591.272400
352 2023-12-24  3360.920495  3120.310760  3605.590991

